,start,end,trial,trial_number,backgroundDir,backgroundSpeed,numFrames,patchDir,patchPos,patchSize,patchSpeed,duration
0,6071.0,6131.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
1,15360.0,15420.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
2,32539.0,32599.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
3,34068.0,34129.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
4,47611.0,47672.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
5,51236.0,51296.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
6,53602.0,53662.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
7,74673.0,74733.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
8,80124.0,80184.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
9,81331.0,81392.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
10,86108.0,86169.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
11,96292.0,96351.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,59.0
12,3765.0,4018.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
13,5432.0,5685.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
14,9445.0,9697.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
15,10407.0,10660.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
16,12318.0,12570.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
17,27946.0,28198.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
18,41910.0,42163.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
19,59565.0,59818.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
20,63382.0,63635.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
21,66353.0,66606.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
22,76714.0,76967.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
23,88441.0,88684.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,243.0
24,9313.0,9385.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
25,14956.0,15028.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
26,48505.0,48577.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
27,51795.0,51867.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
28,57253.0,57325.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
29,58436.0,58508.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
30,70296.0,70368.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
31,83110.0,83182.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
32,83555.0,83628.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,73.0
33,86228.0,86301.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,73.0
34,89070.0,89142.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
35,90644.0,90711.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,67.0
36,1682.0,1754.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
37,7621.0,7693.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
38,21374.0,21446.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
39,30997.0,31069.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
40,31129.0,31202.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,73.0
41,34320.0,34393.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,73.0
42,42358.0,42430.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
43,47478.0,47550.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
44,51102.0,51175.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,73.0
45,56337.0,56409.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
46,61039.0,61111.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
47,64778.0,64844.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,66.0
48,725.0,990.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
49,1950.0,2215.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
50,10083.0,10348.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
51,12632.0,12897.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
52,20736.0,21000.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
53,31900.0,32164.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
54,41125.0,41390.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
55,42946.0,43210.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
56,67629.0,67894.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
57,69264.0,69529.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
58,70874.0,71139.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
59,87343.0,87603.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,260.0
60,276.0,351.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
61,8467.0,8542.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
62,13837.0,13912.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
63,25140.0,25215.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
64,41453.0,41528.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
65,59297.0,59372.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
66,64911.0,64986.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
67,65953.0,66028.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
68,77813.0,77888.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
69,90509.0,90584.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
70,95193.0,95268.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
71,96412.0,96487.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
72,1814.0,1890.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,76.0
73,2275.0,2350.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
74,8603.0,8678.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
75,14105.0,14180.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
76,36335.0,36410.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
77,38481.0,38557.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,76.0
78,57711.0,57786.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
79,66088.0,66163.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
80,89660.0,89736.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,76.0
81,90374.0,90449.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
82,92914.0,92989.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
83,93775.0,93850.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
84,11122.0,11368.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
85,12957.0,13203.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
86,17026.0,17273.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
87,22989.0,23236.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
88,28259.0,28506.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
89,39075.0,39322.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
90,40375.0,40622.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
91,40682.0,40929.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
