,start,end,start_frame,Unnamed: 0,approachSpeed,centerLocation,direction,dotNum,dotSize,dotSpeed,motion,duration
0,143.0,173.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
1,19045.0,19075.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
2,24885.0,24915.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
3,36443.0,36473.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
4,50108.0,50138.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
5,54683.0,54713.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
6,68649.0,68679.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
7,81832.0,81862.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
8,97303.0,97333.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
9,99289.0,99319.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
10,203.0,233.0,8160,136,,,left,1000,5,400,rotation,30.0
11,20731.0,20761.0,8160,136,,,left,1000,5,400,rotation,30.0
12,27774.0,27804.0,8160,136,,,left,1000,5,400,rotation,30.0
13,33072.0,33102.0,8160,136,,,left,1000,5,400,rotation,30.0
14,48964.0,48994.0,8160,136,,,left,1000,5,400,rotation,30.0
15,58235.0,58265.0,8160,136,,,left,1000,5,400,rotation,30.0
16,67144.0,67174.0,8160,136,,,left,1000,5,400,rotation,30.0
17,86527.0,86557.0,8160,136,,,left,1000,5,400,rotation,30.0
18,92005.0,92035.0,8160,136,,,left,1000,5,400,rotation,30.0
19,100132.0,100162.0,8160,136,,,left,1000,5,400,rotation,30.0
20,263.0,293.0,6780,113,,,left,1000,5,10,rotation,30.0
21,12243.0,12273.0,6780,113,,,left,1000,5,10,rotation,30.0
22,25487.0,25517.0,6780,113,,,left,1000,5,10,rotation,30.0
23,40717.0,40747.0,6780,113,,,left,1000,5,10,rotation,30.0
24,46857.0,46887.0,6780,113,,,left,1000,5,10,rotation,30.0
25,63712.0,63743.0,6780,113,,,left,1000,5,10,rotation,31.0
26,65278.0,65308.0,6780,113,,,left,1000,5,10,rotation,30.0
27,83517.0,83548.0,6780,113,,,left,1000,5,10,rotation,31.0
28,89718.0,89748.0,6780,113,,,left,1000,5,10,rotation,30.0
29,100975.0,101005.0,6780,113,,,left,1000,5,10,rotation,30.0
30,323.0,353.0,5700,95,,,left,300,5,400,rotation,30.0
31,12484.0,12514.0,5700,95,,,left,300,5,400,rotation,30.0
32,24945.0,24975.0,5700,95,,,left,300,5,400,rotation,30.0
33,36684.0,36714.0,5700,95,,,left,300,5,400,rotation,30.0
34,44449.0,44479.0,5700,95,,,left,300,5,400,rotation,30.0
35,55164.0,55195.0,5700,95,,,left,300,5,400,rotation,31.0
36,70455.0,70485.0,5700,95,,,left,300,5,400,rotation,30.0
37,81651.0,81681.0,5700,95,,,left,300,5,400,rotation,30.0
38,97002.0,97032.0,5700,95,,,left,300,5,400,rotation,30.0
39,102419.0,102449.0,5700,95,,,left,300,5,400,rotation,30.0
40,383.0,413.0,8100,135,,,right,300,8,400,rotation,30.0
41,13206.0,13236.0,8100,135,,,right,300,8,400,rotation,30.0
42,26450.0,26480.0,8100,135,,,right,300,8,400,rotation,30.0
43,34456.0,34486.0,8100,135,,,right,300,8,400,rotation,30.0
44,47519.0,47549.0,8100,135,,,right,300,8,400,rotation,30.0
45,62448.0,62478.0,8100,135,,,right,300,8,400,rotation,30.0
46,73946.0,73976.0,8100,135,,,right,300,8,400,rotation,30.0
47,78280.0,78310.0,8100,135,,,right,300,8,400,rotation,30.0
48,95497.0,95527.0,8100,135,,,right,300,8,400,rotation,30.0
49,106091.0,106121.0,8100,135,,,right,300,8,400,rotation,30.0
50,444.0,474.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,30.0
51,19527.0,19557.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,30.0
52,27293.0,27323.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,30.0
53,36985.0,37015.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,30.0
54,44931.0,44961.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,30.0
55,59438.0,59469.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,31.0
56,66602.0,66632.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,30.0
57,77739.0,77769.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,30.0
58,93570.0,93600.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,30.0
59,101276.0,101306.0,1080,18,1.0,-50-10,forward,11882,1,199,translation,30.0
60,504.0,534.0,9420,157,,,right,545,5,200,rotation,30.0
61,13507.0,13537.0,9420,157,,,right,545,5,200,rotation,30.0
62,30122.0,30152.0,9420,157,,,right,545,5,200,rotation,30.0
63,41138.0,41168.0,9420,157,,,right,545,5,200,rotation,30.0
64,46014.0,46044.0,9420,157,,,right,545,5,200,rotation,30.0
65,64676.0,64706.0,9420,157,,,right,545,5,200,rotation,30.0
66,66963.0,66993.0,9420,157,,,right,545,5,200,rotation,30.0
67,77678.0,77708.0,9420,157,,,right,545,5,200,rotation,30.0
68,88875.0,88905.0,9420,157,,,right,545,5,200,rotation,30.0
69,107054.0,107085.0,9420,157,,,right,545,5,200,rotation,31.0
70,564.0,594.0,600,10,2.05,-50-10,backward,5180,1,398,translation,30.0
71,11882.0,11912.0,600,10,2.05,-50-10,backward,5180,1,398,translation,30.0
72,22416.0,22447.0,600,10,2.05,-50-10,backward,5180,1,398,translation,31.0
73,33433.0,33463.0,600,10,2.05,-50-10,backward,5180,1,398,translation,30.0
74,52034.0,52064.0,600,10,2.05,-50-10,backward,5180,1,398,translation,30.0
75,59137.0,59168.0,600,10,2.05,-50-10,backward,5180,1,398,translation,31.0
76,67385.0,67415.0,600,10,2.05,-50-10,backward,5180,1,398,translation,30.0
77,78882.0,78912.0,600,10,2.05,-50-10,backward,5180,1,398,translation,30.0
78,96580.0,96610.0,600,10,2.05,-50-10,backward,5180,1,398,translation,30.0
79,97664.0,97694.0,600,10,2.05,-50-10,backward,5180,1,398,translation,30.0
80,624.0,654.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,30.0
81,11280.0,11310.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,30.0
82,23319.0,23350.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,31.0
83,32831.0,32861.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,30.0
84,50890.0,50920.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,30.0
85,61305.0,61335.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,30.0
86,69311.0,69341.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,30.0
87,83818.0,83849.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,31.0
88,95677.0,95707.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,30.0
89,101697.0,101727.0,2220,37,0.24,-50-10,backward,5180,1,49,translation,30.0
90,684.0,715.0,6420,107,,,right,545,5,50,rotation,31.0
91,18082.0,18112.0,6420,107,,,right,545,5,50,rotation,30.0
92,24704.0,24734.0,6420,107,,,right,545,5,50,rotation,30.0
93,34878.0,34908.0,6420,107,,,right,545,5,50,rotation,30.0
94,44208.0,44238.0,6420,107,,,right,545,5,50,rotation,30.0
95,63412.0,63442.0,6420,107,,,right,545,5,50,rotation,30.0
96,68589.0,68619.0,6420,107,,,right,545,5,50,rotation,30.0
97,84240.0,84270.0,6420,107,,,right,545,5,50,rotation,30.0
98,93029.0,93059.0,6420,107,,,right,545,5,50,rotation,30.0
99,104887.0,104917.0,6420,107,,,right,545,5,50,rotation,30.0
100,745.0,775.0,6000,100,,,right,300,12,20,rotation,30.0
101,12965.0,12995.0,6000,100,,,right,300,12,20,rotation,30.0
102,31627.0,31657.0,6000,100,,,right,300,12,20,rotation,30.0
103,41078.0,41108.0,6000,100,,,right,300,12,20,rotation,30.0
104,46737.0,46767.0,6000,100,,,right,300,12,20,rotation,30.0
105,56188.0,56218.0,6000,100,,,right,300,12,20,rotation,30.0
106,72261.0,72291.0,6000,100,,,right,300,12,20,rotation,30.0
107,82253.0,82283.0,6000,100,,,right,300,12,20,rotation,30.0
108,92246.0,92276.0,6000,100,,,right,300,12,20,rotation,30.0
109,101757.0,101787.0,6000,100,,,right,300,12,20,rotation,30.0
110,805.0,835.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
111,13688.0,13718.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
112,26691.0,26721.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
113,36142.0,36172.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
114,43606.0,43636.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
115,57031.0,57061.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
116,71117.0,71147.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
117,76414.0,76444.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
118,92968.0,92998.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
119,103864.0,103894.0,2400,40,0.24,-50-10,forward,11882,1,49,translation,30.0
120,865.0,895.0,3720,62,0.05,-50-10,forward,5180,1,10,translation,30.0
121,18022.0,18052.0,3720,62,0.05,-50-10,forward,5180,1,10,translation,30.0
122,26510.0,26540.0,3720,62,0.05,-50-10,forward,5180,1,10,translation,30.0
