,start,end,trial,trial_number,backgroundDir,backgroundSpeed,numFrames,patchDir,patchPos,patchSize,patchSpeed,duration
0,6068.0,6129.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
1,15357.0,15417.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
2,32535.0,32595.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
3,34064.0,34124.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
4,47605.0,47666.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
5,51229.0,51290.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
6,53595.0,53655.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
7,74665.0,74725.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
8,80115.0,80176.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
9,81322.0,81383.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
10,86099.0,86159.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
11,96281.0,96341.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
12,3763.0,4015.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
13,5430.0,5683.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
14,9442.0,9694.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
15,10404.0,10657.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
16,12315.0,12567.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
17,27942.0,28194.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
18,41905.0,42157.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
19,59558.0,59811.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
20,63374.0,63627.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
21,66345.0,66598.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
22,76705.0,76958.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
23,88432.0,88684.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
24,9310.0,9382.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
25,14953.0,15025.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
26,48499.0,48571.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
27,51789.0,51861.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
28,57246.0,57318.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
29,58429.0,58501.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
30,70288.0,70360.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
31,83101.0,83173.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
32,83546.0,83618.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
33,86219.0,86291.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
34,89060.0,89132.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
35,90634.0,90706.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
36,1680.0,1751.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,71.0
37,7618.0,7690.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
38,21370.0,21442.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
39,30992.0,31065.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,73.0
40,31125.0,31197.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
41,34315.0,34388.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,73.0
42,42352.0,42424.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
43,47472.0,47544.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
44,51096.0,51168.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
45,56330.0,56403.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,73.0
46,61032.0,61104.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
47,64770.0,64842.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
48,723.0,987.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
49,1948.0,2213.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
50,10080.0,10345.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
51,12629.0,12894.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
52,20732.0,20996.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
53,31895.0,32159.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
54,41120.0,41384.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
55,42941.0,43205.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
56,67621.0,67886.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
57,69256.0,69521.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
58,70866.0,71131.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
59,87333.0,87597.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
60,274.0,349.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
61,8464.0,8540.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,76.0
62,13834.0,13909.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
63,25136.0,25211.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
64,41447.0,41522.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
65,59290.0,59365.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
66,64904.0,64979.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
67,65945.0,66020.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
68,77804.0,77879.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
69,90499.0,90575.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,76.0
70,95183.0,95258.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
71,96402.0,96476.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,74.0
72,1812.0,1887.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
73,2273.0,2348.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
74,8600.0,8675.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
75,14102.0,14177.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
76,36330.0,36405.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
77,38476.0,38552.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,76.0
78,57704.0,57779.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
79,66080.0,66156.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,76.0
80,89651.0,89726.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
81,90364.0,90439.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
82,92904.0,92979.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
83,93765.0,93840.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
84,11119.0,11365.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
85,12954.0,13200.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
86,17022.0,17269.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
87,22985.0,23232.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
88,28255.0,28502.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
89,39070.0,39317.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
90,40370.0,40617.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
91,40677.0,40924.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
92,51347.0,51594.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
93,69714.0,69960.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
94,71191.0,71437.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
95,96847.0,97092.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,245.0
96,8019.0,8271.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,252.0
97,11558.0,11810.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,252.0
98,19196.0,19449.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,253.0
99,26221.0,26473.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,252.0
100,33435.0,33687.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,252.0
101,37703.0,37956.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,253.0
102,46383.0,46636.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,253.0
103,49860.0,50113.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,253.0
104,52232.0,52485.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,253.0
105,54474.0,54727.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,253.0
106,55558.0,55811.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,253.0
107,71763.0,72015.0,trial17_duration_8.36666666667.stim,17.0,180,20,502,0,0,5,20,252.0
108,14237.0,14309.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
109,21960.0,22032.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
110,27485.0,27557.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
111,38017.0,38089.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
112,39648.0,39720.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
113,44036.0,44108.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
114,44169.0,44241.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
115,53195.0,53268.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,73.0
116,53328.0,53400.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
117,69124.0,69196.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
118,70021.0,70093.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,72.0
119,75108.0,75179.0,trial18_duration_2.38333333333.stim,18.0,180,20,143,0,0,5,80,71.0
120,2408.0,2480.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
121,10718.0,10790.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
122,11870.0,11942.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
123,18750.0,18822.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
124,34182.0,34254.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
125,53460.0,53533.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,73.0
126,61295.0,61367.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
127,65485.0,65557.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
128,68856.0,68928.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
129,86620.0,86692.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
130,89516.0,89588.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,72.0
131,93173.0,93244.0,trial19_duration_2.38333333333.stim,19.0,180,20,143,180,0,5,80,71.0
132,409.0,662.0,trial1_duration_8.36666666667.stim,1.0,0,0,502,0,0,5,20,253.0
133,20420.0,20672.0,trial1_duration_8.36666666667.stim,1.0,0,0,502,0,0,5,20,252.0
134,22092.0,22345.0,trial1_duration_8.36666666667.stim,1.0,0,0,502,0,0,5,20,253.0
135,31257.0,31510.0,trial1_duration_8.36666666667.stim,1.0,0,0,502,0,0,5,20,253.0
136,51920.0,52173.0,trial1_duration_8.36666666667.stim,1.0,0,0,502,0,0,5,20,253.0
137,54027.0,54280.0,trial1_duration_8.36666666667.stim,1.0,0,0,502,0,0,5,20,253.0
138,60718.0,60971.0,trial1_duration_8.36666666667.stim,1.0,0,0,502,0,0,5,20,253.0
139,62025.0,62277.0,trial1_duration_8.36666666667.stim,1.0,0,0,502,0,0,5,20,252.0
140,80695.0,80948.0,trial1_duration_8.36666666667.stim,1.0,0,0,502,0,0,5,20,253.0
