,start,end,start_frame,Unnamed: 0,approachSpeed,centerLocation,direction,dotNum,dotSize,dotSpeed,motion,duration
0,144.0,174.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,30.0
1,16218.0,16248.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,30.0
2,29161.0,29191.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,30.0
3,35000.0,35030.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,30.0
4,54144.0,54174.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,30.0
5,55288.0,55318.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,30.0
6,75876.0,75906.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,30.0
7,83160.0,83190.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,30.0
8,97065.0,97096.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,31.0
9,99594.0,99624.0,3900,65,0.096,-50-10,backward,11882,1,19,translation,30.0
10,204.0,234.0,720,12,0.05,-50-10,forward,2258,1,10,translation,30.0
11,15134.0,15164.0,720,12,0.05,-50-10,forward,2258,1,10,translation,30.0
12,25609.0,25639.0,720,12,0.05,-50-10,forward,2258,1,10,translation,30.0
13,42345.0,42375.0,720,12,0.05,-50-10,forward,2258,1,10,translation,30.0
14,53783.0,53813.0,720,12,0.05,-50-10,forward,2258,1,10,translation,30.0
15,59321.0,59351.0,720,12,0.05,-50-10,forward,2258,1,10,translation,30.0
16,72083.0,72113.0,720,12,0.05,-50-10,forward,2258,1,10,translation,30.0
17,82738.0,82769.0,720,12,0.05,-50-10,forward,2258,1,10,translation,31.0
18,93393.0,93424.0,720,12,0.05,-50-10,forward,2258,1,10,translation,31.0
19,104951.0,104981.0,720,12,0.05,-50-10,forward,2258,1,10,translation,30.0
20,264.0,294.0,8880,148,,,right,1000,5,50,rotation,30.0
21,17903.0,17933.0,8880,148,,,right,1000,5,50,rotation,30.0
22,27656.0,27686.0,8880,148,,,right,1000,5,50,rotation,30.0
23,43067.0,43097.0,8880,148,,,right,1000,5,50,rotation,30.0
24,46258.0,46288.0,8880,148,,,right,1000,5,50,rotation,30.0
25,55649.0,55679.0,8880,148,,,right,1000,5,50,rotation,30.0
26,67930.0,67960.0,8880,148,,,right,1000,5,50,rotation,30.0
27,82799.0,82829.0,8880,148,,,right,1000,5,50,rotation,30.0
28,93574.0,93604.0,8880,148,,,right,1000,5,50,rotation,30.0
29,101881.0,101911.0,8880,148,,,right,1000,5,50,rotation,30.0
30,324.0,354.0,5100,85,,,left,545,5,400,rotation,30.0
31,16458.0,16488.0,5100,85,,,left,545,5,400,rotation,30.0
32,28860.0,28890.0,5100,85,,,left,545,5,400,rotation,30.0
33,34459.0,34489.0,5100,85,,,left,545,5,400,rotation,30.0
34,53422.0,53452.0,5100,85,,,left,545,5,400,rotation,30.0
35,65100.0,65130.0,5100,85,,,left,545,5,400,rotation,30.0
36,72926.0,72956.0,5100,85,,,left,545,5,400,rotation,30.0
37,78946.0,78976.0,5100,85,,,left,545,5,400,rotation,30.0
38,94477.0,94507.0,5100,85,,,left,545,5,400,rotation,30.0
39,99774.0,99804.0,5100,85,,,left,545,5,400,rotation,30.0
40,384.0,414.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
41,14050.0,14080.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
42,25188.0,25218.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
43,39636.0,39666.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
44,45114.0,45144.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
45,57455.0,57485.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
46,70338.0,70368.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
47,77923.0,77953.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
48,87253.0,87283.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
49,102423.0,102453.0,2280,38,0.096,-50-10,forward,11882,1,19,translation,30.0
50,445.0,475.0,7860,131,,,right,300,5,20,rotation,30.0
51,14351.0,14381.0,7860,131,,,right,300,5,20,rotation,30.0
52,27355.0,27385.0,7860,131,,,right,300,5,20,rotation,30.0
53,36746.0,36776.0,7860,131,,,right,300,5,20,rotation,30.0
54,48004.0,48034.0,7860,131,,,right,300,5,20,rotation,30.0
55,54325.0,54355.0,7860,131,,,right,300,5,20,rotation,30.0
56,72866.0,72896.0,7860,131,,,right,300,5,20,rotation,30.0
57,81234.0,81264.0,7860,131,,,right,300,5,20,rotation,30.0
58,90624.0,90654.0,7860,131,,,right,300,5,20,rotation,30.0
59,106577.0,106607.0,7860,131,,,right,300,5,20,rotation,30.0
60,505.0,535.0,8220,137,,,left,1000,5,100,rotation,30.0
61,13629.0,13659.0,8220,137,,,left,1000,5,100,rotation,30.0
62,24766.0,24796.0,8220,137,,,left,1000,5,100,rotation,30.0
63,41923.0,41954.0,8220,137,,,left,1000,5,100,rotation,31.0
64,49027.0,49057.0,8220,137,,,left,1000,5,100,rotation,30.0
65,58117.0,58147.0,8220,137,,,left,1000,5,100,rotation,30.0
66,68110.0,68140.0,8220,137,,,left,1000,5,100,rotation,30.0
67,82979.0,83009.0,8220,137,,,left,1000,5,100,rotation,30.0
68,95440.0,95470.0,8220,137,,,left,1000,5,100,rotation,30.0
69,101941.0,101972.0,8220,137,,,left,1000,5,100,rotation,31.0
70,565.0,595.0,9720,162,,,left,545,8,100,rotation,30.0
71,11642.0,11672.0,9720,162,,,left,545,8,100,rotation,30.0
72,28800.0,28830.0,9720,162,,,left,545,8,100,rotation,30.0
73,35061.0,35091.0,9720,162,,,left,545,8,100,rotation,30.0
74,48425.0,48455.0,9720,162,,,left,545,8,100,rotation,30.0
75,60224.0,60254.0,9720,162,,,left,545,8,100,rotation,30.0
76,71481.0,71512.0,9720,162,,,left,545,8,100,rotation,31.0
77,80571.0,80601.0,9720,162,,,left,545,8,100,rotation,30.0
78,89782.0,89812.0,9720,162,,,left,545,8,100,rotation,30.0
79,101279.0,101309.0,9720,162,,,left,545,8,100,rotation,30.0
80,625.0,655.0,8340,139,,,right,1000,8,10,rotation,30.0
81,15495.0,15525.0,8340,139,,,right,1000,8,10,rotation,30.0
82,22539.0,22569.0,8340,139,,,right,1000,8,10,rotation,30.0
83,40719.0,40750.0,8340,139,,,right,1000,8,10,rotation,31.0
84,50953.0,50984.0,8340,139,,,right,1000,8,10,rotation,31.0
85,56612.0,56642.0,8340,139,,,right,1000,8,10,rotation,30.0
86,72445.0,72475.0,8340,139,,,right,1000,8,10,rotation,30.0
87,80331.0,80361.0,8340,139,,,right,1000,8,10,rotation,30.0
88,96524.0,96554.0,8340,139,,,right,1000,8,10,rotation,30.0
89,105674.0,105704.0,8340,139,,,right,1000,8,10,rotation,30.0
90,685.0,715.0,7380,123,,,right,545,12,50,rotation,30.0
91,18927.0,18957.0,7380,123,,,right,545,12,50,rotation,30.0
92,29281.0,29311.0,7380,123,,,right,545,12,50,rotation,30.0
93,41622.0,41653.0,7380,123,,,right,545,12,50,rotation,31.0
94,46559.0,46589.0,7380,123,,,right,545,12,50,rotation,30.0
95,65040.0,65070.0,7380,123,,,right,545,12,50,rotation,30.0
96,74190.0,74220.0,7380,123,,,right,545,12,50,rotation,30.0
97,80451.0,80481.0,7380,123,,,right,545,12,50,rotation,30.0
98,87013.0,87043.0,7380,123,,,right,545,12,50,rotation,30.0
99,108142.0,108172.0,7380,123,,,right,545,12,50,rotation,30.0
100,746.0,776.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
101,17301.0,17331.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
102,31148.0,31178.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
103,42104.0,42134.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
104,45475.0,45505.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
105,57274.0,57305.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,31.0
106,68772.0,68803.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,31.0
107,81535.0,81565.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
108,87374.0,87404.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
109,100858.0,100888.0,2460,41,1.0,-50-10,forward,1184,2,199,translation,30.0
110,806.0,836.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,30.0
111,11763.0,11793.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,30.0
112,30124.0,30154.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,30.0
113,42646.0,42676.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,30.0
114,53000.0,53030.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,30.0
115,55107.0,55137.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,30.0
116,69555.0,69585.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,30.0
117,78464.0,78495.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,31.0
118,97366.0,97397.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,31.0
119,98510.0,98540.0,3960,66,2.05,-50-10,forward,5180,1,398,translation,30.0
120,866.0,896.0,10380,173,,,left,1000,8,20,rotation,30.0
121,13930.0,13960.0,10380,173,,,left,1000,8,20,rotation,30.0
