,start,end,trial,trial_number,backgroundDir,backgroundSpeed,numFrames,patchDir,patchPos,patchSize,patchSpeed,duration
0,6070.0,6131.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
1,15359.0,15419.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
2,32536.0,32596.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
3,34065.0,34126.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,61.0
4,47607.0,47667.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
5,51231.0,51291.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
6,53597.0,53657.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
7,74666.0,74726.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
8,80117.0,80177.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
9,81324.0,81384.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
10,86101.0,86161.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
11,96283.0,96343.0,trial0_duration_2.0.stim,0.0,0,0,120,0,0,5,0,60.0
12,3765.0,4017.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
13,5432.0,5685.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
14,9444.0,9696.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
15,10406.0,10659.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
16,12317.0,12569.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
17,27944.0,28196.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
18,41906.0,42159.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
19,59560.0,59812.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,252.0
20,63376.0,63629.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
21,66347.0,66600.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
22,76707.0,76960.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,253.0
23,88433.0,88676.0,trial10_duration_8.36666666667.stim,10.0,0,20,502,180,0,5,20,243.0
24,9312.0,9384.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
25,14955.0,15027.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
26,48501.0,48573.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
27,51790.0,51863.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,73.0
28,57247.0,57320.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,73.0
29,58430.0,58503.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,73.0
30,70289.0,70362.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,73.0
31,83102.0,83175.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,73.0
32,83548.0,83620.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
33,86221.0,86293.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
34,89062.0,89134.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,72.0
35,90636.0,90703.0,trial11_duration_2.38333333333.stim,11.0,0,20,143,0,0,5,80,67.0
36,1682.0,1754.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
37,7620.0,7692.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
38,21372.0,21444.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
39,30994.0,31066.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
40,31127.0,31199.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
41,34317.0,34389.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
42,42354.0,42426.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
43,47474.0,47546.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
44,51098.0,51170.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
45,56332.0,56404.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,72.0
46,61033.0,61106.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,73.0
47,64772.0,64838.0,trial12_duration_2.38333333333.stim,12.0,0,20,143,180,0,5,80,66.0
48,725.0,989.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
49,1950.0,2215.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
50,10082.0,10347.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
51,12631.0,12896.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
52,20734.0,20998.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
53,31897.0,32161.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
54,41122.0,41386.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,264.0
55,42942.0,43207.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
56,67623.0,67888.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
57,69257.0,69522.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
58,70868.0,71133.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,265.0
59,87335.0,87595.0,trial13_duration_8.78333333333.stim,13.0,0,20,527,180,0,15,20,260.0
60,276.0,351.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
61,8466.0,8542.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,76.0
62,13836.0,13911.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
63,25138.0,25213.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
64,41449.0,41524.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
65,59292.0,59367.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
66,64905.0,64980.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
67,65947.0,66022.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
68,77806.0,77881.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
69,90501.0,90576.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
70,95184.0,95260.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,76.0
71,96403.0,96478.0,trial14_duration_2.5.stim,14.0,0,20,150,0,0,15,80,75.0
72,1814.0,1889.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
73,2275.0,2350.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
74,8602.0,8677.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
75,14104.0,14179.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
76,36332.0,36407.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
77,38478.0,38553.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
78,57705.0,57781.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,76.0
79,66082.0,66157.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
80,89652.0,89728.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,76.0
81,90366.0,90441.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
82,92906.0,92981.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,75.0
83,93767.0,93841.0,trial15_duration_2.5.stim,15.0,0,20,150,180,0,15,80,74.0
84,11121.0,11367.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
85,12956.0,13202.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
86,17024.0,17271.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
87,22987.0,23233.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
88,28257.0,28503.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,246.0
89,39071.0,39318.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
90,40372.0,40619.0,trial16_duration_8.16666666667.stim,16.0,180,20,490,0,0,5,0,247.0
